Maintenance_Hours
20
30
30
25
15
16
50
19
20
20
14
13
20
25
26
20
105
55
2
35
13
10
12
22
10
0
0
0.5529667
0.5529667
1.044483
1.044483
2.867534
2.867534
3.006417
3.006417
3.9505
3.9505
0
0
0.1465
0.1465
0
0
0.1720167
0.1720167
0
0
3.726667E-02
3.726667E-02
0
0
3.691667E-02
3.691667E-02
0
0
